iso3,regex,region_code
ALB,"(\b)(albania\w{0,})(\b)",alb
AUS,"(\b)(australia\w{0,})(\b)",austr
BEL,"(\b)(belgium|belgian\w{0,})(\b)",belg
BRA,"(\b)(brazil\w{0,})(\b)",braz
CAN,"(\b)(canada|canadian\w{0,})(\b)",cana
CHE,"(\b)(switzerland|swiss\w{0,})(\b)",switz
CHL,"(\b)(chile\w{0,})(\b)",chil
CHN,"(\b)(china|people\W+republic\W+of\W+china|chinese\w{0,})(\b)",china
COL,"(\b)(colombia\w{0,})(\b)",col
CYP,"(\b)(cyprus|cypriot\w{0,})(\b)",cypr
CZE,(\b)(czech\W+republic|czechia)(\b),czrep
DEU,"(\b)(german\w{0,})(\b)",gfr
ECU,"(\b)(ecuador\w{0,})(\b)",ecu
ESP,"(\b)(spain|spanish\w{0,})(\b)",spain
FIN,"(\b)(finland|finnish\w{0,})(\b)",fin
FRA,"(\b)(france|french\w{0,})(\b)",fra
GBR,"(\b)(united\W+kingdom|uk|great\W+britain|british\w{0,}|britain)(\b)",uk
GRC,"(\b)(greece|greek\w{0,})(\b)",greece
HKG,(\b)(hong\W+kong)(\b),hkong
HRV,"(\b)(croatia\w{0,})(\b)",crtia
HUN,"(\b)(hungary|hungarian\w{0,})(\b)",hung
IDN,"(\b)(indonesia\w{0,})(\b)",indon
IND,"(\b)(india\w{0,})(\b)",india
IRL,"(\b)(ireland|irish\w{0,})(\b)",ire
ISR,"(\b)(israel\w{0,})(\b)",israel
ITA,"(\b)(italy|italian\w{0,})(\b)",italy
JOR,"(\b)(jordan\w{0,})(\b)",jordan
JPN,"(\b)(japan\w{0,})(\b)",jap
KOR,"(\b)(south\W+korea\w{0,}|republic\W+of\W+korea|rok)(\b)",skorea
LUX,"(\b)(luxembourg\w{0,})(\b)",lux
LVA,"(\b)(latvia\w{0,})(\b)",latv
MEX,"(\b)(mexico|mexican\w{0,})(\b)",mex
MKD,"(\b)(north\W+macedonia\w{0,}|macedonia\w{0,})(\b)",mcdnia
MYS,"(\b)(malaysia\w{0,})(\b)",malay
NGA,"(\b)(nigeria\w{0,})(\b)",nigea
NLD,"(\b)(netherlands|dutch\w{0,})(\b)",neth
NOR,"(\b)(norway|norwegian\w{0,})(\b)",norw
PER,"(\b)(peru|peruvian\w{0,})(\b)",peru
PHL,"(\b)(philippine\w{0,})(\b)",phlns
POL,"(\b)(poland|polish\w{0,})(\b)",pol
PRT,"(\b)(portugal|portuguese\w{0,})(\b)",porl
ROU,"(\b)(romania\w{0,})(\b)",rom
RUS,"(\b)(russia\w{0,})(\b)",russ
SGP,"(\b)(singapore\w{0,})(\b)",singp
SVK,"(\b)(slovakia\w{0,}|slovak\W+republic)(\b)",slvak
SVN,"(\b)(slovenia\w{0,})(\b)",slvnia
SWE,"(\b)(sweden|swedish\w{0,})(\b)",swed
THA,"(\b)(thailand|thai\w{0,})(\b)",thail
TUR,"(\b)(turkey|türkiye|turkish\w{0,})(\b)",turk
TWN,"(\b)(taiwan\w{0,})(\b)",taiwan
USA,(\b)(united\W+states|u\.s\.|us)(\b),usa
ZAF,"(\b)(south\W+africa\w{0,})(\b)",safr
AFG,"(\b)(afghanistan\w{0,}|afghan\w{0,})(\b)",afgh
AGO,"(\b)(angola\w{0,})(\b)",angol
ARG,"(\b)(argentina\w{0,})(\b)",arg
ARM,"(\b)(armenia\w{0,})(\b)",armen
AUT,"(\b)(austria\w{0,})(\b)",aust
AZE,"(\b)(azerbaijan\w{0,})(\b)",azerb
BDI,"(\b)(burundi\w{0,})(\b)",burun
BGD,"(\b)(bangladesh\w{0,})(\b)",bandh
BGR,"(\b)(bulgaria\w{0,})(\b)",bul
BHR,"(\b)(bahrain\w{0,})(\b)",bahrn
BLR,"(\b)(belarus\w{0,})(\b)",byelrs
COG,"(\b)(congo\w{0,})(\b)",zaire
DNK,"(\b)(denmark\w{0,})(\b)",den
DZA,"(\b)(algeria\w{0,})(\b)",alg
EGY,"(\b)(egypt\w{0,})(\b)",egypt
EST,"(\b)(estonia\w{0,})(\b)",estnia
KHM,"(\b)(cambodia\w{0,})(\b)",kampa
ETH,"(\b)(ethiopia\w{0,})(\b)",ethpa
FJI,"(\b)(fiji\w{0,})(\b)",fiji
GEO,"(\b)(georgia\w{0,})(\b)",grgia
GHA,"(\b)(ghana\w{0,})(\b)",ghana
HTI,"(\b)(haiti\w{0,})(\b)",hait
IRN,"(\b)(iran\w{0,})(\b)",iran
IRQ,"(\b)(iraq\w{0,})(\b)",iraq
JAM,"(\b)(jamaica\w{0,})(\b)",jama
KAZ,"(\b)(kazakhstan\w{0,})(\b)",kazk
KEN,"(\b)(kenya\w{0,})(\b)",kenya
KGZ,"(\b)(kyrgyzstan\w{0,})(\b)",kirgh
KWT,"(\b)(kuwait\w{0,})(\b)",kuwait
LBN,"(\b)(lebanon\w{0,})(\b)",leban
LBY,"(\b)(libya\w{0,})(\b)",libya
LKA,"(\b)(sri\W+lanka\w{0,})(\b)",srilan
LTU,"(\b)(lithuania\w{0,})(\b)",lith
MAR,"(\b)(morocco\w{0,})(\b)",moroc
MLI,"(\b)(mali\w{0,})(\b)",mali
MMR,"(\b)(myanmar\w{0,})(\b)",burma
NPL,"(\b)(nepal\w{0,})(\b)",nepal
NZL,"(\b)(new\W+zealand\w{0,})(\b)",nz
OMN,"(\b)(oman\w{0,})(\b)",oman
PAK,"(\b)(pakistan\w{0,})(\b)",pakis
PAN,"(\b)(panama\w{0,})(\b)",pana
QAT,"(\b)(qatar\w{0,})(\b)",qatar
RWA,"(\b)(rwanda\w{0,})(\b)",rwanda
SAU,"(\b)(saudi\W+arabia\w{0,})(\b)",saarab
SOM,"(\b)(somalia\w{0,})(\b)",somal
SRB,"(\b)(serbia\w{0,})(\b)",yug
SSD,"(\b)(south\W+sudan\w{0,})(\b)",sousud
XKX,"(\b)(kosovo\w{0,})(\b)",kosovo
ARE,"(\b)(united\W+arab\W+emirates\w{0,}|uae)(\b)",uae
CIV,"(\b)(côte\W+d\W+ivoire\w{0,}|cote\W+d\W+ivoire\w{0,}|ivory\W+coast)(\b)",icst
SDN,"(\b)(sudan\w{0,})(\b)",sudan
SYR,"(\b)(syria\w{0,})(\b)",syria
TJK,"(\b)(tajikistan\w{0,})(\b)",tadzk
TKM,"(\b)(turkmenistan\w{0,})(\b)",turkm
TUN,"(\b)(tunisia\w{0,})(\b)",tunis
TZA,"(\b)(tanzania\w{0,})(\b)",tanza
UGA,"(\b)(uganda\w{0,})(\b)",uganda
UKR,"(\b)(ukraine\w{0,})(\b)",ukrn
UZB,"(\b)(uzbekistan\w{0,})(\b)",uzbk
VEN,"(\b)(venezuela\w{0,})(\b)",ven
VNM,"(\b)(viet\W+nam\w{0,}|vietnam\w{0,})(\b) ",vietn
YEM,"(\b)(yemen\w{0,})(\b)",yemar
ZMB,"(\b)(zambia\w{0,})(\b)",zambia
ZWE,"(\b)(zimbabwe\w{0,})(\b)",zimbab
